indicator,value,unit,segment,data_type,source_basis
brand_awareness_franui,38.2,percent,all,estimated,"Based on social media penetration of Franui in CZ; TikTok viral reach estimates"
brand_awareness_category,22.5,percent,all,estimated,"Frozen fruit in chocolate as category awareness; derived from Franui presence on Rohlik.cz"
purchase_intent_berrie,61.4,percent,all,estimated,"After concept description; benchmark: European premium snack launch studies show 55-68% intent"
purchase_intent_gen_z,68.7,percent,gen_z_millennials,estimated,"Higher for visual-driven segment; aligned with Gen Z impulse purchase tendency"
purchase_intent_mothers,54.1,percent,mothers_with_children,estimated,"More cautious segment; higher price sensitivity"
price_too_cheap,72,czk,all,estimated,"PSM Q1: below this = suspicion of quality"
price_cheap,99,czk,all,estimated,"PSM Q2: good value threshold"
price_expensive,139,czk,all,estimated,"PSM Q3: getting expensive"
price_too_expensive,169,czk,all,estimated,"PSM Q4: too expensive to consider; near Franui price"
optimal_price_point,112,czk,all,estimated,"OPP from PSM curve intersection"
indifference_price_point,119,czk,all,estimated,"IDP from PSM simulation"
acceptable_range_low,92,czk,all,estimated,"PMC lower bound"
acceptable_range_high,131,czk,all,estimated,"PME upper bound"
local_origin_importance,7.8,scale_1_10,all,estimated,"Czech consumer preference for local food; multiple CZ surveys show 65-80% prefer local"
local_origin_importance_mothers,8.9,scale_1_10,mothers_with_children,estimated,"Stronger preference in family segment"
bio_certification_importance,6.2,scale_1_10,all,estimated,"BIO less important than local origin; consistent with CZ organic market share (~6%)"
bio_certification_mothers,7.6,scale_1_10,mothers_with_children,estimated,"Higher for mothers; aligned with health-conscious segment"
taste_importance,9.1,scale_1_10,all,estimated,"Taste = #1 purchase driver across all food categories"
visual_appeal_importance,8.4,scale_1_10,gen_z_millennials,estimated,"Visual aesthetic critical for social media sharing"
visual_appeal_importance_mothers,5.8,scale_1_10,mothers_with_children,estimated,"Less important; functional value dominates"
preferred_fruit_blueberry,34.2,percent,all,estimated,"Most popular premium berry in CZ market"
preferred_fruit_strawberry,28.6,percent,all,estimated,"Traditional favorite; strong baseline"
preferred_fruit_raspberry,21.3,percent,all,estimated,"Franui's current offering = reference point"
preferred_fruit_banana,15.9,percent,all,estimated,"Niche but growing; popular with children"
preferred_chocolate_dark,38.1,percent,all,estimated,"Health-conscious trend favors dark chocolate"
preferred_chocolate_white,31.4,percent,all,estimated,"Visual appeal; pairs well with berries"
preferred_chocolate_milk,30.5,percent,all,estimated,"Traditional preference; popular with children"
distribution_preference_online,42.3,percent,gen_z_millennials,estimated,"E-grocery penetration in CZ Gen Z"
distribution_preference_supermarket,67.8,percent,mothers_with_children,estimated,"Mothers prefer physical retail for frozen goods"
repurchase_likelihood,73.2,percent,all,estimated,"After trial; benchmark from similar premium snack launches"
social_media_discovery,58.4,percent,gen_z_millennials,estimated,"TikTok/Instagram as primary discovery channel"
recommendation_likelihood_nps,42,nps_score,all,estimated,"Net Promoter Score; good for new category"
willingness_to_pay_premium_local,18.5,percent_premium,all,estimated,"WTP premium for Czech-made vs imported; EU surveys show 10-25%"
seasonal_purchase_peak,summer,category,all,estimated,"Frozen treats peak consumption May-September"
